Unnamed: 0,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,tanggal_dummy,Usia,Is_Couple,Is_SMA,Anak,cmp_masuk,Spent,deals_rate,conversion_rate,rentang
1241,1241,1921,1967,S3,Menikah,59062000.0,2,1,2013-10-03,74,46000,1000,12000,3000,0,9000,2,2,0,3,4,0,0,0,0,0,0,3,11,0,2013-12-16,47,1,0,3,0,71000,0.2857142857142857,0.3333333333333333,Tua
1242,1242,4138,1962,S1,Lajang,76624000.0,0,1,2014-05-24,68,411000,106000,147000,54000,115000,66000,1,5,10,7,1,1,0,0,0,0,0,3,11,0,2014-07-31,52,0,0,1,1,899000,0.043478260869565216,0.8333333333333334,Tua
1243,1243,7718,1947,S2,Bertunangan,66000000.0,0,0,2014-04-20,36,244000,51000,270000,101000,0,45000,1,1,3,5,1,0,0,0,0,0,0,3,11,0,2014-05-26,67,1,0,0,0,711000,0.1,0.5,Lansia
1244,1244,1291,1978,S3,Bertunangan,27683000.0,1,0,2012-08-04,90,152000,9000,121000,12000,12000,45000,4,6,2,4,8,0,0,0,0,0,0,3,11,0,2012-11-02,36,1,0,1,0,351000,0.25,0.42857142857142855,Tua
1245,1245,6862,1971,S1,Cerai,1730000.0,0,0,2014-05-18,65,1000,1000,3000,1000,1000,1000,15,0,0,0,20,0,0,0,0,0,0,3,11,0,2014-07-22,43,0,0,0,0,8000,1.0,0.0,Tua
1246,1246,4136,1992,SMA,Lajang,7500000.0,1,0,2012-12-03,63,10000,17000,18000,8000,26000,40000,4,3,2,2,9,0,0,0,0,0,0,3,11,0,2013-02-04,22,0,1,1,0,119000,0.36363636363636365,0.25,Muda
1247,1247,803,1968,S1,Bertunangan,40521000.0,1,1,2013-04-05,82,12000,0,5000,0,0,4000,1,0,1,2,5,0,0,0,0,0,0,3,11,0,2013-06-26,46,1,0,2,0,21000,0.25,0.0,Tua
1248,1248,4298,1973,S3,Bertunangan,20427000.0,1,0,2014-03-24,63,5000,0,4000,0,0,1000,1,1,0,2,8,0,0,0,0,0,0,3,11,0,2014-05-26,41,1,0,1,0,10000,0.25,0.1111111111111111,Tua
1249,1249,10833,1975,S1,Menikah,65106000.0,0,1,2014-05-24,55,790000,19000,133000,12000,0,19000,3,8,3,13,6,0,1,0,0,0,0,3,11,0,2014-07-18,39,1,0,1,1,973000,0.1111111111111111,0.5714285714285714,Tua
1250,1250,9606,1965,S3,Menikah,69969000.0,0,0,2013-08-27,64,882000,29000,514000,38000,29000,44000,1,4,2,6,3,0,0,1,1,0,0,3,11,1,2013-10-30,49,1,0,0,2,1536000,0.07692307692307693,0.5714285714285714,Tua
1251,1251,8534,1952,S1,Menikah,67433000.0,0,2,2013-07-16,51,615000,28000,259000,12000,48000,30000,4,6,5,13,4,0,1,0,0,0,0,3,11,0,2013-09-05,62,1,0,2,1,992000,0.14285714285714285,0.6,Lansia
1252,1252,5153,1967,S3,Menikah,77766000.0,0,1,2013-02-22,97,1004000,59000,265000,115000,59000,27000,2,11,10,11,6,1,0,0,0,0,0,3,11,1,2013-05-30,47,1,0,1,1,1529000,0.058823529411764705,0.6470588235294118,Tua
1253,1253,961,1972,S1,Menikah,74716000.0,0,1,2013-09-12,92,133000,27000,421000,13000,195000,71000,2,7,3,5,4,0,0,0,0,0,0,3,11,0,2013-12-13,42,1,0,1,0,860000,0.11764705882352941,0.6363636363636364,Tua
1254,1254,5011,1963,S1,Cerai,68118000.0,0,1,2013-10-18,51,595000,23000,123000,10000,23000,154000,2,8,9,4,6,0,0,0,0,0,0,3,11,0,2013-12-08,51,0,0,1,0,928000,0.08695652173913043,0.5714285714285714,Tua
1255,1255,6653,1970,S3,Menikah,55158000.0,1,1,2012-07-30,72,293000,0,87000,4000,11000,23000,4,7,2,5,7,0,0,0,0,0,0,3,11,1,2012-10-10,44,1,0,2,0,418000,0.2222222222222222,0.5,Tua
1256,1256,9094,1955,D3,Menikah,62972000.0,0,1,2012-08-03,39,313000,15000,47000,20000,0,192000,2,7,4,3,6,0,0,0,0,0,0,3,11,1,2012-09-11,59,1,0,1,0,587000,0.125,0.5384615384615384,Lansia
1257,1257,810,1975,S1,Menikah,74190000.0,0,1,2014-05-12,49,151000,81000,86000,168000,91000,64000,2,4,2,11,2,0,0,0,0,0,0,3,11,0,2014-06-30,39,1,0,1,0,641000,0.10526315789473684,0.6666666666666666,Tua
1258,1258,5493,1976,S1,Menikah,39356000.0,1,1,2014-03-19,21,15000,0,2000,0,0,6000,1,1,0,2,6,1,0,0,0,0,0,3,11,0,2014-04-09,38,1,0,2,1,23000,0.25,0.14285714285714285,Tua
1259,1259,2147,1969,S1,Bertunangan,76653000.0,0,0,2013-08-16,91,736000,63000,946000,219000,189000,126000,1,4,7,11,2,0,0,1,1,0,0,3,11,0,2013-11-15,45,1,0,0,2,2279000,0.043478260869565216,0.6666666666666666,Tua
1260,1260,5107,1973,S3,Cerai,35860000.0,1,1,2014-05-19,37,15000,0,8000,4000,2000,20000,2,1,1,2,5,1,0,0,0,0,0,3,11,0,2014-06-25,41,0,0,2,1,49000,0.3333333333333333,0.16666666666666666,Tua
1261,1261,3979,1983,S3,Cerai,90687000.0,0,0,2013-05-22,98,982000,17000,672000,23000,34000,51000,1,6,2,8,2,0,0,1,0,0,0,3,11,1,2013-08-28,31,0,0,0,1,1779000,0.058823529411764705,0.75,Tua
1262,1262,6049,1982,S2,Bertunangan,73450000.0,0,0,2013-12-05,85,1142000,51000,415000,90000,69000,37000,1,7,8,11,3,1,0,0,1,0,0,3,11,0,2014-02-28,32,1,0,0,2,1804000,0.037037037037037035,0.7,Tua
1263,1263,8147,1960,S1,Menikah,31454000.0,1,1,2013-07-06,40,28000,0,11000,0,0,9000,3,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-08-15,54,1,0,2,0,48000,0.375,0.2,Tua
1264,1264,1857,1952,S1,Lajang,47139000.0,1,1,2014-03-06,2,46000,0,12000,0,2000,23000,2,2,1,2,7,0,0,0,0,0,0,3,11,1,2014-03-08,62,0,0,2,0,83000,0.2857142857142857,0.2222222222222222,Lansia
1265,1265,3910,1975,S1,Cerai,83829000.0,0,0,2013-10-08,78,897000,161000,430000,186000,161000,27000,0,4,7,6,1,1,0,1,1,0,0,3,11,1,2013-12-25,39,0,0,0,3,1862000,0.0,0.8,Tua
1266,1266,5207,1963,S3,Menikah,53378000.0,1,1,2012-09-24,41,489000,6000,152000,8000,6000,132000,10,9,4,6,8,0,0,0,0,0,0,3,11,1,2012-11-04,51,1,0,2,0,793000,0.3448275862068966,0.5294117647058824,Tua
1267,1267,11114,1970,S1,Bertunangan,19656000.0,1,0,2013-02-08,94,25000,4000,9000,6000,8000,32000,3,2,1,3,7,0,0,0,0,0,0,3,11,0,2013-05-13,44,1,0,1,0,84000,0.3333333333333333,0.2222222222222222,Tua
1268,1268,5429,1948,S3,Menikah,45579000.0,0,1,2013-08-20,10,145000,1000,33000,2000,1000,1000,1,4,1,4,6,0,0,0,0,0,0,3,11,0,2013-08-30,66,1,0,1,0,183000,0.1,0.4,Lansia
1269,1269,9400,1958,D3,Lajang,85485000.0,0,0,2014-06-21,73,630000,26000,611000,44000,18000,54000,1,6,6,6,2,0,0,0,0,0,0,3,11,0,2014-09-02,56,0,0,0,0,1383000,0.05263157894736842,0.75,Lansia
1270,1270,1740,1944,S1,Menikah,55956000.0,0,0,2014-04-07,22,760000,38000,104000,50000,9000,38000,2,7,3,4,4,0,1,0,0,0,0,3,11,0,2014-04-29,70,1,0,0,1,999000,0.125,0.6363636363636364,Lansia
1271,1271,7488,1963,S2,Lajang,64191000.0,0,1,2013-01-22,30,420000,15000,186000,151000,38000,15000,3,5,3,13,3,0,0,0,0,0,0,3,11,0,2013-02-21,51,0,0,1,0,825000,0.125,0.625,Tua
1272,1272,195,1972,S1,Lajang,38808000.0,1,0,2012-08-26,21,125000,17000,52000,3000,19000,30000,4,5,1,4,8,1,0,0,0,0,0,3,11,1,2012-09-16,42,0,0,1,1,246000,0.2857142857142857,0.38461538461538464,Tua
1273,1273,635,1966,S2,Menikah,57183000.0,1,1,2013-03-19,51,464000,5000,64000,7000,0,70000,8,9,1,7,8,0,0,0,0,0,0,3,11,0,2013-05-09,48,1,0,2,0,610000,0.32,0.5294117647058824,Tua
1274,1274,7527,1968,S2,Cerai,23748000.0,1,0,2012-11-21,97,6000,6000,29000,12000,15000,8000,3,2,1,3,8,0,0,0,0,0,0,3,11,0,2013-02-26,46,0,0,1,0,76000,0.3333333333333333,0.2,Tua
1275,1275,10319,1971,S1,Menikah,66303000.0,0,1,2013-02-26,56,1090000,12000,96000,16000,12000,60000,4,3,4,11,8,0,1,0,0,0,0,3,11,0,2013-04-23,43,1,0,1,1,1286000,0.18181818181818182,0.2727272727272727,Tua
1276,1276,2296,1975,S2,Menikah,37368000.0,1,0,2013-12-16,4,3000,2000,11000,2000,2000,10000,1,1,0,2,6,1,0,0,0,0,0,3,11,0,2013-12-20,39,1,0,1,1,30000,0.25,0.14285714285714285,Tua
1277,1277,10637,1964,S1,Menikah,40800000.0,1,2,2013-01-01,77,24000,0,27000,8000,30000,10000,2,3,0,3,7,0,0,0,0,0,1,3,11,0,2013-03-19,50,1,0,3,0,99000,0.25,0.3,Tua
1278,1278,2931,1978,S1,Cerai,71847000.0,0,0,2012-09-21,95,737000,21000,106000,55000,63000,210000,0,6,7,9,3,0,0,0,1,0,0,3,11,0,2012-12-25,36,0,0,0,1,1192000,0.0,0.6666666666666666,Tua
1279,1279,907,1975,S1,Menikah,46149000.0,0,1,2013-11-29,36,254000,6000,71000,4000,0,27000,5,5,1,7,5,0,0,0,0,0,0,3,11,0,2014-01-04,39,1,0,1,0,362000,0.2777777777777778,0.5,Tua
1280,1280,3698,1983,S1,Bertunangan,78687000.0,0,0,2012-08-09,13,817000,185000,687000,145000,55000,241000,1,4,6,8,2,0,0,1,0,0,0,3,11,1,2012-08-22,31,1,0,0,1,2130000,0.05263157894736842,0.6666666666666666,Tua
1281,1281,9516,1971,D3,Cerai,49118000.0,0,0,2012-08-18,90,620000,54000,239000,99000,98000,119000,2,9,7,10,7,0,1,0,0,1,0,3,11,1,2012-11-16,43,0,0,0,2,1229000,0.07142857142857142,0.5625,Tua
1282,1282,679,1957,S3,Menikah,37633000.0,1,1,2012-09-20,49,13000,4000,20000,0,0,1000,2,1,0,3,9,0,0,0,0,0,0,3,11,0,2012-11-08,57,1,0,2,0,38000,0.3333333333333333,0.1,Lansia
1283,1283,7384,1951,S2,Bertunangan,39767000.0,0,0,2013-07-21,18,113000,61000,204000,34000,26000,47000,2,7,1,7,8,0,0,0,0,0,0,3,11,0,2013-08-08,63,1,0,0,0,485000,0.11764705882352941,0.4666666666666667,Lansia
1284,1284,5043,1951,SMA,Menikah,26997000.0,0,0,2012-11-05,89,7000,23000,78000,133000,49000,144000,2,4,2,5,7,0,0,0,0,0,0,3,11,0,2013-02-02,63,1,1,0,0,434000,0.15384615384615385,0.36363636363636365,Lansia
1285,1285,5267,1970,S1,Cerai,33986000.0,1,0,2013-03-14,43,16000,2000,18000,2000,1000,5000,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2013-04-26,44,0,0,1,0,44000,0.2,0.125,Tua
1286,1286,339,1972,S3,Menikah,57091000.0,0,1,2012-11-23,82,462000,0,24000,6000,0,4000,2,9,2,5,7,0,1,0,0,0,0,3,11,1,2013-02-13,42,1,0,1,1,496000,0.1111111111111111,0.5625,Tua
1287,1287,2516,1969,D3,Menikah,46831000.0,1,1,2013-06-08,84,22000,2000,10000,6000,4000,34000,2,1,2,2,4,0,0,0,0,0,0,3,11,0,2013-08-31,45,1,0,2,0,78000,0.2857142857142857,0.2,Tua
1288,1288,9010,1972,S2,Menikah,83151000.0,0,0,2013-02-10,80,968000,147000,842000,137000,42000,210000,1,5,7,10,2,1,0,1,1,0,0,3,11,1,2013-05-01,42,1,0,0,3,2346000,0.043478260869565216,0.7142857142857143,Tua
1289,1289,378,1971,S1,Menikah,52531000.0,0,0,2012-12-30,68,283000,112000,151000,51000,72000,125000,2,7,2,10,6,0,0,0,0,0,0,3,11,0,2013-03-08,43,1,0,0,0,794000,0.09523809523809523,0.5384615384615384,Tua
1290,1290,4808,1956,S1,Menikah,15759000.0,0,0,2013-09-05,12,1000,2000,5000,6000,0,3000,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013-09-17,58,1,0,0,0,17000,0.25,0.125,Lansia
1291,1291,5068,1971,S1,Lajang,22804000.0,1,0,2013-07-31,75,14000,1000,7000,2000,1000,1000,1,2,0,2,9,0,0,0,0,0,0,3,11,0,2013-10-14,43,0,0,1,0,26000,0.2,0.18181818181818182,Tua
1292,1292,7628,1973,D3,Menikah,43050000.0,1,0,2014-03-18,10,30000,5000,24000,6000,3000,8000,2,2,0,4,5,0,0,0,0,0,0,3,11,0,2014-03-28,41,1,0,1,0,76000,0.25,0.2857142857142857,Tua
1293,1293,7128,1977,S3,Lajang,42997000.0,1,1,2013-12-07,91,4000,0,5000,0,1000,5000,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014-03-08,37,0,0,2,0,15000,0.25,0.125,Tua
1294,1294,2811,1963,S3,Lajang,48918000.0,1,1,2014-04-12,21,52000,0,9000,0,0,1000,2,1,0,4,4,0,0,0,0,0,0,3,11,0,2014-05-03,51,0,0,2,0,62000,0.2857142857142857,0.2,Tua
1295,1295,3551,1954,S2,Bertunangan,60033000.0,0,1,2014-03-29,28,62000,1000,57000,19000,11000,48000,2,2,1,5,2,0,0,0,0,0,0,3,11,0,2014-04-26,60,1,0,1,0,198000,0.2,0.5,Lansia
1296,1296,1663,1978,S3,Bertunangan,34043000.0,1,0,2013-10-25,97,20000,2000,14000,3000,0,10000,1,2,0,2,9,0,0,0,0,0,0,3,11,0,2014-01-30,36,1,0,1,0,49000,0.2,0.18181818181818182,Tua
1297,1297,5543,1966,S1,Bertunangan,57811000.0,0,1,2013-06-24,49,545000,7000,114000,37000,21000,78000,5,7,2,11,5,0,1,0,0,0,0,3,11,0,2013-08-12,48,1,0,1,1,802000,0.2,0.5833333333333334,Tua
1298,1298,1577,1946,S1,Menikah,78569000.0,0,0,2014-02-19,14,558000,79000,622000,207000,175000,95000,1,4,6,4,1,0,0,1,0,0,0,3,11,1,2014-03-05,68,1,0,0,1,1736000,0.06666666666666667,0.8,Lansia
1299,1299,10641,1978,S1,Lajang,7500000.0,1,1,2012-12-27,5,6000,5000,4000,13000,4000,25000,4,2,1,3,6,0,0,0,0,0,0,3,11,0,2013-01-01,36,0,0,2,0,57000,0.4,0.25,Tua
1301,1301,6024,1953,S1,Bertunangan,94384000.0,0,0,2013-03-04,62,1111000,24000,790000,160000,45000,172000,0,5,8,5,2,0,1,1,1,0,0,3,11,1,2013-05-05,61,1,0,0,3,2302000,0.0,0.7142857142857143,Lansia
1302,1302,1878,1985,D3,Menikah,23148000.0,0,0,2014-02-18,83,4000,6000,8000,6000,3000,10000,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2014-05-12,29,1,0,0,0,37000,0.16666666666666666,0.2222222222222222,Muda
1303,1303,3099,1970,S1,Cerai,44267000.0,1,1,2013-02-25,48,183000,5000,65000,3000,5000,49000,5,5,2,4,9,0,0,0,0,0,0,3,11,0,2013-04-14,44,0,0,2,0,310000,0.3125,0.35714285714285715,Tua
1304,1304,6055,1979,S1,Menikah,71626000.0,0,0,2012-11-01,94,546000,72000,376000,94000,145000,72000,1,5,5,8,3,0,1,0,0,0,0,3,11,0,2013-02-03,35,1,0,0,1,1305000,0.05263157894736842,0.625,Tua
1305,1305,5841,1966,S1,Bertunangan,60894000.0,0,1,2013-06-28,61,606000,7000,155000,10000,0,54000,5,10,3,8,7,0,0,0,0,0,0,3,11,0,2013-08-28,48,1,0,1,0,832000,0.19230769230769232,0.5882352941176471,Tua
1306,1306,3972,1976,S1,Bertunangan,50200000.0,1,1,2013-04-03,70,266000,6000,51000,8000,6000,64000,6,7,1,5,8,0,0,0,0,0,0,3,11,0,2013-06-12,38,1,0,2,0,401000,0.3157894736842105,0.4666666666666667,Tua
1307,1307,4394,1965,S3,Menikah,81051000.0,0,0,2014-05-23,43,1142000,29000,249000,38000,29000,14000,1,5,5,12,2,0,1,1,0,0,0,3,11,0,2014-07-05,49,1,0,0,2,1501000,0.043478260869565216,0.7142857142857143,Tua
1308,1308,5758,1982,S1,Menikah,65169000.0,0,0,2014-01-14,23,1074000,0,69000,0,0,46000,1,10,4,13,6,1,0,1,1,1,0,3,11,1,2014-02-06,32,1,0,0,4,1189000,0.03571428571428571,0.625,Tua
1309,1309,6658,1972,S1,Bertunangan,59868000.0,0,1,2013-07-22,37,771000,51000,154000,54000,10000,154000,7,11,2,12,6,0,0,0,0,0,0,3,11,0,2013-08-28,42,1,0,1,0,1194000,0.21875,0.6470588235294118,Tua
1310,1310,4603,1960,S3,Menikah,65695000.0,0,1,2014-01-31,50,371000,32000,189000,0,58000,6000,2,5,4,10,4,0,0,0,0,0,0,3,11,0,2014-03-22,54,1,0,1,0,656000,0.09523809523809523,0.5555555555555556,Tua
1311,1311,8427,1956,S2,Lajang,64857000.0,0,0,2012-11-23,78,556000,14000,717000,210000,0,43000,1,7,5,10,4,0,0,0,0,0,0,3,11,0,2013-02-09,58,0,0,0,0,1540000,0.043478260869565216,0.6363636363636364,Lansia
1312,1312,10260,1965,S2,Bertunangan,45143000.0,0,1,2013-08-26,74,202000,5000,74000,11000,5000,14000,3,6,1,5,7,0,0,0,0,0,0,3,11,0,2013-11-08,49,1,0,1,0,311000,0.2,0.46153846153846156,Tua
1313,1313,7143,1955,D3,Bertunangan,74805000.0,0,1,2013-11-06,14,209000,162000,209000,41000,162000,37000,5,4,7,10,2,0,0,0,0,0,0,3,11,0,2013-11-20,59,1,0,1,0,820000,0.19230769230769232,0.6666666666666666,Lansia
1314,1314,8789,1989,D3,Menikah,59060000.0,1,0,2014-01-11,77,35000,40000,111000,36000,40000,12000,3,3,1,7,4,0,0,0,0,0,0,3,11,0,2014-03-29,25,1,0,1,0,274000,0.21428571428571427,0.42857142857142855,Muda
1315,1315,6197,1962,S3,Lajang,27238000.0,1,1,2013-04-20,39,37000,0,17000,0,0,3000,3,3,0,3,9,0,0,0,0,0,0,3,11,0,2013-05-29,52,0,0,2,0,57000,0.3333333333333333,0.25,Tua
1316,1316,4554,1965,S1,Bertunangan,47009000.0,0,1,2013-10-01,89,171000,45000,73000,59000,10000,90000,4,3,2,8,4,0,0,0,0,0,0,3,11,0,2013-12-29,49,1,0,1,0,448000,0.23529411764705882,0.42857142857142855,Tua
1317,1317,4937,1973,D3,Menikah,46094000.0,1,1,2014-06-10,62,12000,2000,20000,3000,2000,5000,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2014-08-11,41,1,0,2,0,44000,0.2,0.125,Tua
1318,1318,1920,1972,S1,Menikah,40321000.0,1,1,2013-07-29,59,44000,4000,21000,6000,0,27000,2,3,0,3,7,0,0,0,0,0,0,3,11,0,2013-09-26,42,1,0,2,0,102000,0.25,0.3,Tua
1319,1319,8749,1984,S1,Bertunangan,37235000.0,1,0,2014-02-01,68,20000,2000,9000,4000,6000,20000,1,1,1,2,4,0,0,0,0,0,0,3,11,0,2014-04-10,30,1,0,1,0,61000,0.2,0.2,Muda
1320,1320,1650,1960,S2,Menikah,81843000.0,0,0,2013-04-22,13,779000,86000,537000,34000,69000,138000,1,5,9,12,3,0,0,0,0,0,0,3,11,0,2013-05-05,54,1,0,0,0,1643000,0.037037037037037035,0.625,Tua
1321,1321,10377,1958,S2,Bertunangan,46692000.0,0,1,2013-06-06,37,170000,6000,97000,24000,12000,88000,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2013-07-13,56,1,0,1,0,397000,0.2,0.5,Lansia
1322,1322,9206,1968,S1,Bertunangan,77382000.0,0,1,2014-01-07,36,491000,48000,231000,112000,105000,134000,2,5,7,12,1,0,0,1,0,0,0,3,11,0,2014-02-12,46,1,0,1,1,1121000,0.07692307692307693,0.8333333333333334,Tua
1323,1323,10971,1977,S1,Lajang,37774000.0,2,0,2012-09-03,28,173000,8000,107000,7000,2000,176000,4,7,2,3,9,1,0,0,0,0,1,3,11,1,2012-10-01,37,0,0,2,1,473000,0.25,0.4375,Tua
1324,1324,6398,1974,SMA,Menikah,18393000.0,1,0,2014-03-29,2,7000,10000,13000,16000,0,4000,2,3,0,3,8,0,0,0,0,0,0,3,11,0,2014-03-31,40,1,1,1,0,50000,0.25,0.2727272727272727,Tua
1325,1325,9212,1962,S2,Menikah,72828000.0,0,1,2013-02-14,17,1205000,0,235000,19000,14000,205000,6,6,3,13,7,0,0,0,0,0,0,3,11,0,2013-03-03,52,1,0,1,0,1678000,0.21428571428571427,0.46153846153846156,Tua
1326,1326,7937,1982,S1,Menikah,24711000.0,0,0,2014-04-18,86,10000,7000,25000,6000,3000,7000,1,3,0,3,7,0,0,0,0,0,0,3,11,0,2014-07-13,32,1,0,0,0,58000,0.14285714285714285,0.3,Tua
1327,1327,839,1975,S3,Menikah,45503000.0,1,0,2013-09-25,54,97000,4000,44000,6000,1000,18000,1,3,1,4,5,0,0,0,0,0,0,3,11,0,2013-11-18,39,1,0,1,0,170000,0.1111111111111111,0.375,Tua
1328,1328,4246,1982,S2,Lajang,6560000.0,0,0,2013-12-12,2,67000,11000,26000,4000,3000,262000,0,1,0,1,17,0,0,0,0,0,0,3,11,0,2013-12-14,32,0,0,0,0,373000,0.0,0.05555555555555555,Tua
1329,1329,158,1945,S3,Bertunangan,71604000.0,0,0,2013-11-17,3,345000,53000,528000,98000,75000,97000,1,8,3,5,4,1,0,0,0,0,0,3,11,1,2013-11-20,69,1,0,0,1,1196000,0.058823529411764705,0.6666666666666666,Lansia
1330,1330,4832,1979,S1,Menikah,27244000.0,1,0,2014-03-07,84,6000,5000,17000,3000,24000,46000,2,2,2,2,7,0,0,0,0,0,0,3,11,0,2014-05-30,35,1,0,1,0,101000,0.25,0.2222222222222222,Tua
1331,1331,5621,1969,S1,Menikah,48752000.0,1,1,2012-12-12,8,73000,57000,100000,71000,15000,0,5,6,1,5,9,0,0,0,0,0,0,3,11,1,2012-12-20,45,1,0,2,0,316000,0.29411764705882354,0.4,Tua
1332,1332,1945,1962,S1,Menikah,71434000.0,0,1,2013-09-18,4,711000,36000,217000,172000,96000,168000,3,7,4,7,4,0,1,0,1,0,0,3,11,0,2013-09-22,52,1,0,1,2,1400000,0.14285714285714285,0.6363636363636364,Tua
1333,1333,5147,1948,S1,Lajang,90842000.0,0,0,2013-07-29,57,774000,70000,118000,182000,187000,93000,1,4,9,13,1,0,0,0,0,0,0,3,11,0,2013-09-24,66,0,0,0,0,1424000,0.037037037037037035,0.8,Lansia
1334,1334,2535,1978,S2,Menikah,88097000.0,1,0,2012-08-18,24,163000,0,480000,0,126000,75000,1,6,5,8,9,0,1,1,1,0,0,3,11,1,2012-09-11,36,1,0,1,3,844000,0.05,0.4,Tua
1335,1335,11039,1975,S1,Menikah,51948000.0,0,1,2013-09-17,51,82000,33000,54000,71000,30000,41000,2,5,2,4,5,0,0,0,0,0,0,3,11,0,2013-11-07,39,1,0,1,0,311000,0.15384615384615385,0.5,Tua
1336,1336,9495,1982,S1,Bertunangan,71853000.0,0,0,2013-05-08,29,358000,108000,413000,141000,97000,32000,1,2,8,6,1,0,0,0,0,0,0,3,11,0,2013-06-06,32,1,0,0,0,1149000,0.058823529411764705,0.6666666666666666,Tua
1337,1337,9635,1983,S2,Menikah,35876000.0,0,0,2014-04-20,13,66000,2000,40000,4000,3000,14000,1,3,1,3,6,0,0,0,0,0,0,3,11,0,2014-05-03,31,1,0,0,0,129000,0.125,0.3333333333333333,Tua
1338,1338,2173,1952,S1,Janda,40049000.0,0,1,2013-10-16,23,13000,6000,7000,0,3000,3000,1,1,0,3,6,0,0,0,0,0,0,3,11,0,2013-11-08,62,0,0,1,0,32000,0.2,0.14285714285714285,Lansia
1339,1339,942,1982,S1,Lajang,39660000.0,1,0,2012-08-08,36,139000,13000,78000,20000,13000,36000,3,7,1,3,9,0,0,0,0,0,0,3,11,1,2012-09-13,32,0,0,1,0,299000,0.21428571428571427,0.4375,Tua
1340,1340,9386,1962,S1,Bertunangan,50127000.0,0,1,2014-05-29,88,274000,0,21000,4000,6000,15000,1,5,1,6,6,0,1,0,0,0,0,3,11,0,2014-08-25,52,1,0,1,1,320000,0.07692307692307693,0.45454545454545453,Tua
1341,1341,5510,1977,S2,Menikah,43263000.0,0,1,2012-11-21,2,262000,6000,61000,0,10000,102000,3,5,2,6,5,0,0,0,0,0,0,3,11,0,2012-11-23,37,1,0,1,0,441000,0.1875,0.5,Tua
1342,1342,873,1949,S2,Menikah,62845000.0,1,1,2012-10-01,3,1099000,0,45000,0,0,34000,11,3,4,10,8,0,1,0,0,0,0,3,11,1,2012-10-04,65,1,0,2,1,1178000,0.39285714285714285,0.2727272727272727,Lansia
1343,1343,2253,1990,S1,Menikah,18929000.0,0,0,2013-02-16,15,32000,0,8000,23000,4000,18000,1,1,0,4,6,0,0,0,0,0,0,3,11,0,2013-03-03,24,1,0,0,0,85000,0.16666666666666666,0.14285714285714285,Muda
1344,1344,5181,1982,SMA,Lajang,24367000.0,1,0,2013-03-20,58,2000,4000,2000,0,11000,5000,1,1,0,2,9,0,0,0,0,0,0,3,11,0,2013-05-17,32,0,1,1,0,24000,0.25,0.1,Tua
1345,1345,979,1975,S1,Lajang,33249000.0,1,0,2013-02-20,11,6000,10000,21000,19000,14000,42000,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2013-03-03,39,0,0,1,0,112000,0.25,0.25,Tua
1346,1346,10390,1959,D3,Menikah,26887000.0,0,1,2013-02-10,27,6000,7000,4000,3000,4000,6000,1,1,0,3,6,0,0,0,0,0,0,3,11,0,2013-03-09,55,1,0,1,0,30000,0.2,0.14285714285714285,Tua
1347,1347,4698,1983,S3,Menikah,50150000.0,0,0,2013-06-20,32,135000,46000,92000,65000,61000,11000,2,5,2,7,5,0,0,0,0,0,0,3,11,0,2013-07-22,31,1,0,0,0,410000,0.125,0.5,Tua
1348,1348,7793,1976,S1,Bertunangan,62061000.0,0,1,2013-08-31,12,641000,7000,84000,0,30000,38000,3,10,4,7,6,0,1,0,0,0,0,3,11,0,2013-09-12,38,1,0,1,1,800000,0.125,0.625,Tua
1349,1349,1745,1962,S3,Cerai,85696000.0,0,0,2013-05-03,88,714000,76000,395000,116000,0,12000,1,4,6,9,1,0,0,0,0,0,0,3,11,1,2013-07-30,52,0,0,0,0,1313000,0.05,0.8,Tua
1350,1350,10590,1956,S3,Bertunangan,76542000.0,0,0,2013-03-30,91,794000,73000,573000,0,29000,14000,1,4,8,10,2,0,0,0,0,0,0,3,11,0,2013-06-29,58,1,0,0,0,1483000,0.043478260869565216,0.6666666666666666,Lansia
1351,1351,5080,1993,S1,Lajang,70515000.0,0,0,2013-10-21,12,420000,0,452000,182000,64000,140000,1,6,6,4,2,0,0,0,0,0,0,3,11,1,2013-11-02,21,0,0,0,0,1258000,0.058823529411764705,0.75,Muda
1352,1352,8369,1987,S1,Bertunangan,18227000.0,1,0,2012-11-08,21,1000,2000,7000,4000,3000,11000,1,0,1,2,8,0,0,0,0,0,0,3,11,0,2012-11-29,27,1,0,1,0,28000,0.25,0.0,Muda
